DATE,MEDLISPRI,MEHOIN
2016-07-01,439900.0,77951
2016-08-01,435000.0,77951
2016-09-01,439000.0,77951
2016-10-01,434900.0,77951
2016-11-01,429900.0,77951
2016-12-01,419900.0,77951
2017-01-01,419945.0,80509
2017-02-01,437400.0,80509
2017-03-01,454500.0,80509
2017-04-01,469900.0,80509
2017-05-01,477000.0,80509
2017-06-01,479450.0,80509
2017-07-01,475000.0,80509
2017-08-01,467000.0,80509
2017-09-01,465000.0,80509
2017-10-01,469000.0,80509
2017-11-01,469450.0,80509
2017-12-01,459000.0,80509
2018-01-01,456000.0,89007
2018-02-01,472400.0,89007
2018-03-01,499000.0,89007
2018-04-01,512486.0,89007
2018-05-01,522094.0,89007
2018-06-01,515000.0,89007
2018-07-01,499900.0,89007
2018-08-01,492450.0,89007
2018-09-01,489900.0,89007
2018-10-01,487000.0,89007
2018-11-01,483998.0,89007
2018-12-01,479000.0,89007
2019-01-01,477068.0,88802
2019-02-01,493950.0,88802
2019-03-01,516529.0,88802
2019-04-01,539900.0,88802
2019-05-01,549000.0,88802
2019-06-01,549000.0,88802
2019-07-01,539900.0,88802
2019-08-01,530943.0,88802
2019-09-01,519450.0,88802
2019-10-01,522450.0,88802
2019-11-01,519995.0,88802
2019-12-01,517000.0,88802
2020-01-01,509450.0,86725
2020-02-01,535000.0,86725
2020-03-01,559000.0,86725
2020-04-01,550000.0,86725
2020-05-01,574900.0,86725
2020-06-01,599950.0,86725
2020-07-01,621450.0,86725
2020-08-01,645000.0,86725
2020-09-01,644500.0,86725
2020-10-01,639000.0,86725
2020-11-01,627450.0,86725
2020-12-01,617000.0,86725
2021-01-01,639000.0
2021-02-01,649450.0
2021-03-01,649900.0
2021-04-01,659800.0
2021-05-01,659900.0
2021-06-01,657450.0
2021-07-01,648750.0
2021-08-01,624950.0
2021-09-01,630000.0
2021-10-01,639000.0
2021-11-01,625000.0
2021-12-01,630200.0
2022-01-01,665000.0
2022-02-01,689900.0
2022-03-01,699450.0
