YEAR,STATE GEO,COUNTY GEO,COUNTY NAME,CITY/TOWN GEOID,CITY/TOWN NAME,NO. OF RENTER HOUSEHOLDS,NO. OF ELI HOUSEHOLDS,NO. OF ELI RENT BURDENED (30%),NO. OF ELI SEVERELY RENT BURDENED (50%),UNITS: AFFORDABLE,NO. UNITS: AFFORDABLE AND OCCUPIED BY ELI,NO. UNITS: AFFORDABLE AND VACANT,NO. UNITS: AFFORDABLE AND OCCUPIED BY VLI,NO. UNITS: AFFORDABLE AND OCCUPIED BY LI,NO. UNITS: AFFORDABLE AND OCCUPIED BY HI,NO. UNITS: AFFORDABLE AND AVAILABLE,AA UNITS PER 100 ELI HOUSEHOLDS,NO. OF TOTAL AA SUBSIDIZED UNITS,MARKET AA UNITS PER 100 ELI HOUSEHOLDS
2016,25,23,Plymouth County,170,Abington ,2035.8,367.4,228.8,158.3,318.5,208.0,30.7,45.2,49.0,16.3,238.7,65.0,94.5,39.2
2016,25,17,Middlesex County,380,Acton ,1988.8,446.1,304.6,233.6,429.1,235.0,0.0,91.5,14.7,87.9,235.0,52.7,99.6,30.4
2016,25,5,Bristol County,520,Acushnet ,484.2,88.8,61.3,49.7,99.3,45.2,0.0,16.0,14.7,23.4,45.2,50.9,3.8,46.6
2016,25,3,Berkshire County,555,Adams ,1284.2,419.5,336.1,232.1,324.8,184.5,2.8,58.1,32.6,49.6,187.3,44.6,191.0,0.0
2016,25,13,Hampden County,840,Agawam  ,3034.1,1036.5,842.2,611.7,710.0,432.8,8.7,137.8,69.0,70.4,441.6,42.6,154.2,27.7
2016,25,3,Berkshire County,975/21360/43300,Alford/Egremont/Mount Washington,121.9,39.8,31.9,22.0,30.8,17.5,0.4,5.5,3.1,4.7,17.9,45.1,0.4,43.9
2016,25,9,Essex County,1260,Amesbury  ,2137.3,557.3,328.3,289.2,415.4,274.8,47.4,48.2,41.3,51.0,322.2,57.8,119.3,36.4
2016,25,15,Hampshire County,1325,Amherst ,5032.5,1244.4,985.8,750.8,922.9,517.1,6.3,189.5,73.6,142.7,523.4,42.1,320.4,16.3
2016,25,9,Essex County,1465,Andover ,2471.7,410.8,352.6,245.5,381.9,171.4,0.0,54.7,40.7,115.1,171.4,41.7,165.4,1.4
2016,25,7,Dukes County,1585/13800/26325/78235,Aquinnah/Chilmark/Gosnold/West Tisbury,296.6,69.3,51.1,34.7,66.8,35.9,2.0,7.4,10.2,13.3,37.9,54.7,2.1,51.7
2016,25,17,Middlesex County,1605,Arlington ,7359.8,1068.0,848.0,615.1,861.4,483.4,10.9,150.0,46.4,181.6,494.2,46.3,239.3,23.9
2016,25,27,Worcester County,1885,Ashburnham ,171.7,36.0,29.0,24.9,41.4,13.8,0.0,8.4,6.6,12.6,13.8,38.3,16.2,0.0
2016,25,17,Middlesex County,1955,Ashby ,126.4,29.9,23.0,19.0,36.5,12.6,0.0,7.2,6.8,9.8,12.6,42.3,0.4,40.8
2016,25,11,Franklin County,2095/15200,Ashfield/Conway,202.3,50.0,39.6,30.2,37.1,20.8,0.3,7.6,3.0,5.7,21.1,42.1,18.5,5.2
2016,25,17,Middlesex County,2130,Ashland ,1370.8,325.4,265.4,215.2,258.5,133.2,0.0,56.7,30.2,38.4,133.2,40.9,146.2,0.0
2016,25,27,Worcester County,2480,Athol ,1488.6,312.0,251.8,216.0,359.1,119.6,14.7,72.7,57.5,109.3,134.2,43.0,85.5,15.6
2016,25,5,Bristol County,2690,Attleboro ,5836.1,1059.0,896.7,716.6,752.5,307.0,0.0,184.1,79.4,182.1,307.0,29.0,233.9,6.9
2016,25,27,Worcester County,2760,Auburn ,1171.1,268.4,225.2,137.7,226.2,125.0,11.4,37.9,22.3,41.0,136.4,50.8,50.6,32.0
2016,25,21,Norfolk County,2935,Avon ,419.1,149.2,106.7,83.7,111.3,81.2,1.6,13.4,8.2,8.4,82.8,55.5,11.5,47.8
2016,25,17,Middlesex County,3005,Ayer ,1240.9,293.4,226.1,186.2,357.8,124.0,51.9,71.0,66.3,96.5,175.9,59.9,56.7,40.6
2016,25,1,Barnstable County,3690,Barnstable  ,4877.6,1172.1,918.2,700.6,1115.1,494.3,46.5,155.0,146.1,319.8,540.9,46.1,432.3,9.3
2016,25,27,Worcester County,3740,Barre ,478.2,109.6,92.0,56.2,92.4,51.0,14.1,15.5,9.1,16.7,65.2,59.5,4.9,55.0
2016,25,3,Berkshire County,454573335,Becket/Washington,75.0,24.5,19.6,13.6,19.0,10.8,0.0,3.4,1.9,2.9,10.8,44.0,1.1,39.4
2016,25,17,Middlesex County,4615,Bedford ,1485.6,260.4,212.1,162.7,197.3,111.7,2.5,18.5,23.0,44.0,114.2,43.9,107.6,2.6
2016,25,15,Hampshire County,4825,Belchertown,1210.9,348.7,287.0,193.0,261.8,155.9,0.0,28.0,21.9,56.0,155.9,44.7,59.0,27.8
2016,25,21,Norfolk County,4930,Bellingham ,1230.0,285.4,212.4,151.4,257.9,154.4,0.0,50.0,20.2,33.3,154.4,54.1,52.9,35.6
2016,25,17,Middlesex County,5070,Belmont ,3569.8,518.0,411.3,298.3,417.8,234.5,15.1,72.7,22.5,88.1,249.6,48.2,26.2,43.1
2016,25,5,Bristol County,5280,Berkley ,113.7,28.2,23.6,16.1,21.6,13.1,0.0,3.3,2.7,2.5,13.1,46.4,2.2,38.5
2016,25,27,Worcester County,5490,Berlin ,170.9,36.2,30.7,22.9,25.6,14.3,0.0,4.2,1.5,5.6,14.3,39.4,28.6,0.0
2016,25,11,Franklin County,5560/25730/35285,Bernardston/Gill/Leyden,277.4,68.6,54.3,41.4,50.9,28.5,0.4,10.4,4.1,7.9,28.9,42.1,7.8,30.7
2016,25,9,Essex County,5595,Beverly ,6591.3,1992.4,1597.8,1121.7,1392.0,931.3,39.5,221.0,81.8,157.9,970.8,48.7,614.4,17.9
2016,25,17,Middlesex County,5805,Billerica ,2572.5,462.9,390.8,279.3,406.4,198.9,0.0,45.3,42.4,119.8,198.9,43.0,117.4,17.6
2016,25,27,Worcester County,6015,Blackstone ,1015.9,312.8,267.4,167.2,264.0,120.6,1.6,64.9,15.6,63.0,122.2,39.1,51.2,22.7
2016,25,13,Hampden County,6085/13485/26675/42530/58650/70045,Blandford/Chester/Granville/Montgomery/Russell/Tolland,300.4,86.5,71.2,47.9,64.9,38.7,1.6,7.0,5.4,13.9,40.3,46.6,6.2,39.4
2016,25,27,Worcester County,6365,Bolton ,102.4,23.7,16.1,12.2,23.5,12.7,0.0,5.5,0.4,4.9,12.7,53.7,20.4,0.0
2016,25,25,Suffolk County,7000,Boston ,170487.0,51652.0,38295.0,26533.0,41609.0,30469.0,1338.0,3549.0,2211.0,5380.0,31807.0,61.6,30444.1,2.6
2016,25,1,Barnstable County,7175,Bourne ,1860.6,447.1,350.3,267.2,425.4,188.6,26.2,59.1,55.7,122.0,214.7,48.0,140.6,16.6
2016,25,17,Middlesex County,7350,Boxborough ,583.9,131.0,89.4,68.6,126.0,69.0,0.0,26.9,4.3,25.8,69.0,52.7,6.0,48.1
2016,25,9,Essex County,7420,Boxford ,52.0,10.5,6.2,5.6,9.7,5.4,0.0,1.6,1.0,1.7,5.4,51.5,0.4,47.2
2016,25,9,Essex County,7420/70150,Boxford/Topsfield,171.9,34.8,20.6,18.5,32.1,17.9,3.9,5.3,3.2,5.7,21.8,62.6,16.5,15.2
2016,25,27,Worcester County,7525,Boylston ,252.2,37.2,32.0,27.1,27.0,11.4,1.1,6.2,2.5,6.9,12.5,33.6,15.3,0.0
2016,25,21,Norfolk County,7740,Braintree  ,4008.8,1100.7,895.8,672.6,708.8,454.9,29.2,106.0,67.2,80.7,484.2,44.0,312.7,15.6
2016,25,1,Barnstable County,7980,Brewster ,679.6,158.9,117.0,79.6,153.0,82.3,0.0,17.0,23.3,30.4,82.3,51.8,43.5,24.4
2016,25,23,Plymouth County,8085,Bridgewater ,1962.9,354.2,220.6,152.7,307.1,200.6,16.5,43.6,47.3,15.7,217.1,61.3,33.5,51.8
2016,25,13,Hampden County,8470,Brimfield ,289.1,83.3,68.5,46.1,62.5,37.2,0.0,6.7,5.2,13.4,37.2,44.7,0.0,44.7
2016,25,23,Plymouth County,9000,Brockton ,14543.6,5179.4,3701.9,2905.5,3862.6,2819.4,113.4,466.0,284.1,293.1,2932.8,56.6,2869.8,1.2
2016,25,27,Worcester County,9105,Brookfield ,289.0,66.2,55.6,34.0,55.8,30.8,0.0,9.4,5.5,10.1,30.8,46.6,4.2,40.2
2016,25,21,Norfolk County,9175,Brookline ,12696.9,1963.6,1537.6,1131.3,1657.1,986.2,30.4,208.1,166.1,296.7,1016.6,51.8,757.4,13.2
2016,25,11,Franklin County,9595/61135,Buckland/Shelburne,488.6,120.8,95.7,72.9,89.6,50.2,0.9,18.4,7.1,13.9,51.1,42.3,6.0,37.3
2016,25,17,Middlesex County,9840,Burlington ,2848.7,499.3,406.8,312.1,378.2,214.3,36.0,35.4,44.1,84.4,250.2,50.1,91.5,31.8
2016,25,17,Middlesex County,11000,Cambridge ,27509.0,4774.0,3421.0,2478.0,4137.0,2507.0,153.0,545.0,200.0,885.0,2660.0,55.7,2694.6,0.0
2016,25,21,Norfolk County,11315,Canton ,1930.7,565.4,437.4,306.8,471.1,308.4,13.3,74.7,28.9,59.1,321.6,56.9,178.3,25.3
2016,25,17,Middlesex County,11525,Carlisle ,68.9,15.5,10.6,8.1,14.9,8.1,0.0,3.2,0.5,3.0,8.1,52.7,9.4,0.0
2016,25,23,Plymouth County,11665,Carver ,341.5,103.9,79.4,62.6,78.9,40.7,0.0,19.3,2.2,16.7,40.7,39.2,29.7,10.6
2016,25,11,Franklin County,1250514885/29475/29650/42040,Charlemont/Colrain/Hawley/Heath/Monroe/Rowe,358.5,88.6,70.2,53.5,65.7,36.8,1.0,13.5,5.2,10.2,37.8,42.7,8.9,32.6
2016,25,27,Worcester County,12715,Charlton ,943.8,192.0,166.2,125.8,149.7,65.1,0.0,26.1,24.3,34.2,65.1,33.9,32.5,17.0
2016,25,1,Barnstable County,12995,Chatham ,567.9,132.7,97.8,66.5,127.9,68.7,4.9,14.2,19.5,25.4,73.7,55.5,9.5,48.3
2016,25,17,Middlesex County,13135,Chelmsford ,2379.3,519.8,436.6,320.1,428.8,222.3,15.4,36.8,25.5,144.2,237.7,45.7,142.0,18.4
2016,25,25,Suffolk County,13205,Chelsea ,9058.3,2891.6,2267.5,1778.4,1815.6,1318.5,18.6,205.0,90.3,201.8,1337.1,46.2,1173.4,5.7
2016,25,3,Berkshire County,13345,Cheshire ,335.4,109.6,87.8,60.6,84.8,48.2,0.0,15.2,8.5,13.0,48.2,44.0,4.9,39.5
2016,25,15,Hampshire County,13590,Chesterfield ,49.1,12.1,9.6,7.3,9.0,5.0,0.3,1.8,0.7,1.4,5.3,43.9,0.9,36.6
2016,25,13,Hampden County,13660,Chicopee ,9792.4,3106.1,2303.6,1584.9,2099.2,1421.4,46.0,236.3,134.4,307.0,1467.4,47.2,931.4,17.3
2016,25,3,Berkshire County,14010,Clarksburg ,67.7,22.1,17.7,12.2,17.1,9.7,0.0,3.1,1.7,2.6,9.7,44.0,7.5,10.0
2016,25,27,Worcester County,14395,Clinton ,2667.0,393.8,338.8,286.3,285.3,120.4,27.7,65.6,26.3,72.9,148.2,37.6,90.5,14.6
2016,25,21,Norfolk County,14640,Cohasset ,578.2,158.7,129.2,97.0,102.2,65.6,0.0,15.3,9.7,11.6,65.6,41.3,5.9,37.6
2016,25,17,Middlesex County,15060,Concord ,1608.7,360.8,246.4,189.0,347.1,190.1,0.0,74.0,11.9,71.1,190.1,52.7,38.2,42.1
2016,25,15,Hampshire County,16040/40990/54030/82175,Cummington/Middlefield/Plainfield/Worthington,209.3,51.7,41.0,31.2,38.4,21.5,0.0,7.9,3.1,5.9,21.5,41.6,11.8,18.8
2016,25,3,Berkshire County,16180,Dalton ,706.2,230.7,184.8,127.6,178.6,101.4,2.7,32.0,17.9,27.3,104.2,45.2,51.7,22.8
2016,25,9,Essex County,16250,Danvers ,3225.4,818.2,629.1,532.6,587.8,320.7,0.0,94.7,85.5,86.9,320.7,39.2,147.7,21.2
