town,percent
Abington ,0.1804695942626977
Acton ,0.2243061142397426
Acushnet ,0.18339529120198264
Adams ,0.32666251362716087
Agawam  ,0.3416169539566923
Alford,0.3264971287940935
Egremont,0.3264971287940935
Mount Washington,0.3264971287940935
Amesbury  ,0.2607495438169653
Amherst ,0.24727272727272728
Andover ,0.16620139984625967
Aquinnah,0.23364801078894132
Chilmark,0.23364801078894132
Gosnold,0.23364801078894132
West Tisbury,0.23364801078894132
Arlington ,0.1451126389304057
Ashburnham ,0.20966802562609205
Ashby ,0.2365506329113924
Ashfield,0.24715768660405338
Conway,0.24715768660405338
Ashland ,0.23737963233148526
Athol ,0.20959290608625555
Attleboro ,0.18145679477733417
Auburn ,0.22918623516352146
Avon ,0.3560009544261512
Ayer ,0.23644129261020225
Barnstable  ,0.24030260783992125
Barre ,0.22919280635717273
Becket,0.32666666666666666
Washington,0.32666666666666666
Bedford ,0.1752827140549273
Belchertown,0.2879676273845899
Bellingham ,0.23203252032520325
Belmont ,0.14510616841279622
Berkley ,0.24802110817941952
Berlin ,0.21181977764774723
Bernardston,0.247296322999279
Gill,0.247296322999279
Leyden,0.247296322999279
Beverly ,0.30227724424620334
Billerica ,0.1799416909620991
Blackstone ,0.3079043212914657
Blandford,0.2879494007989348
Chester,0.2879494007989348
Granville,0.2879494007989348
Montgomery,0.2879494007989348
Russell,0.2879494007989348
Tolland,0.2879494007989348
Bolton ,0.23144531249999997
Boston ,0.30296738167719534
Bourne ,0.24029882833494573
Boxborough ,0.2243534851858195
Boxford ,0.20192307692307693
Boxford,0.20244328097731237
Topsfield,0.20244328097731237
Boylston ,0.14750198255352898
Braintree  ,0.2745709439233686
Brewster ,0.23381400824014126
Bridgewater ,0.18044729736614193
Brimfield ,0.28813559322033894
Brockton ,0.3561291564674496
Brookfield ,0.2290657439446367
Brookline ,0.15465192291031668
Buckland,0.24723700368399507
Shelburne,0.24723700368399507
Burlington ,0.1752729315126198
Cambridge ,0.17354320404231344
Canton ,0.2928471538820117
Carlisle ,0.22496371552975325
Carver ,0.30424597364568085
Charlemont,0.24714086471408644
Colrain,0.24714086471408644
Hawley,0.24714086471408644
Heath,0.24714086471408644
Monroe,0.24714086471408644
Rowe,0.24714086471408644
Charlton ,0.203432930705658
Chatham ,0.2336678992780419
Chelmsford ,0.2184676165258689
Chelsea ,0.3192210458916132
Cheshire ,0.32677400119260586
Chesterfield ,0.24643584521384929
Chicopee ,0.31719496752583637
Clarksburg ,0.32644017725258495
