id,town,fips,percent
1,ABINGTON,25023,0.1804695942626977
2,ACTON,25017,0.2243061142397426
3,ACUSHNET,25005,0.18339529120198264
4,ADAMS,25003,0.3266625136271609
13,ASHFIELD,25011,0.24715768660405335
5,AGAWAM,25013,0.3416169539566923
6,ALFORD,25003,0.3264971287940935
7,AMESBURY,25009,0.2607495438169653
8,AMHERST,25015,0.2472727272727273
14,ASHLAND,25017,0.2373796323314853
9,ANDOVER,25009,0.16620139984625967
10,ARLINGTON,25017,0.1451126389304057
11,ASHBURNHAM,25027,0.20966802562609205
12,ASHBY,25017,0.2365506329113924
45,BROOKFIELD,25027,0.2290657439446367
15,ATHOL,25027,0.20959290608625555
16,ATTLEBORO,25005,0.18145679477733415
17,AUBURN,25027,0.22918623516352146
18,AVON,25021,0.3560009544261512
19,AYER,25017,0.23644129261020225
20,BARNSTABLE,25001,0.24030260783992125
21,BARRE,25027,0.22919280635717276
22,BECKET,25003,0.32666666666666666
23,BEDFORD,25017,0.1752827140549273
24,BELCHERTOWN,25015,0.2879676273845899
70,DALTON,25003,0.32667799490229393
25,BELLINGHAM,25021,0.23203252032520325
26,BELMONT,25017,0.14510616841279622
30,BEVERLY,25009,0.3022772442462033
34,BOLTON,25027,0.2314453125
27,BERKLEY,25005,0.2480211081794195
28,BERLIN,25027,0.21181977764774726
29,BERNARDSTON,25011,0.24729632299927898
35,BOSTON,25025,0.3029673816771953
36,BOURNE,25001,0.2402988283349457
200,NEW ASHFORD,25003,0.3265592151366504
31,BILLERICA,25017,0.1799416909620991
32,BLACKSTONE,25027,0.3079043212914657
33,BLANDFORD,25013,0.2879494007989348
37,BOXBOROUGH,25017,0.2243534851858195
38,BOXFORD,25009,0.20192307692307693
38,BOXFORD,25009,0.2024432809773124
39,BOYLSTON,25027,0.14750198255352898
40,BRAINTREE,25021,0.2745709439233686
43,BRIMFIELD,25013,0.2881355932203389
41,BREWSTER,25001,0.2338140082401413
42,BRIDGEWATER,25023,0.18044729736614196
44,BROCKTON,25023,0.3561291564674496
46,BROOKLINE,25021,0.15465192291031668
47,BUCKLAND,25011,0.2472370036839951
48,BURLINGTON,25017,0.1752729315126198
49,CAMBRIDGE,25017,0.17354320404231344
50,CANTON,25021,0.2928471538820117
51,CARLISLE,25017,0.22496371552975325
52,CARVER,25023,0.30424597364568085
53,CHARLEMONT,25011,0.24714086471408644
54,CHARLTON,25027,0.20343293070565802
55,CHATHAM,25001,0.2336678992780419
56,CHELMSFORD,25017,0.2184676165258689
57,CHELSEA,25025,0.3192210458916132
58,CHESHIRE,25003,0.32677400119260586
59,CHESTER,25013,0.2879494007989348
60,CHESTERFIELD,25015,0.2464358452138493
61,CHICOPEE,25013,0.3171949675258364
112,GRANVILLE,25013,0.2879494007989348
62,CHILMARK,25007,0.2336480107889413
63,CLARKSBURG,25003,0.3264401772525849
64,CLINTON,25027,0.14765654293213348
65,COHASSET,25021,0.2744725008647527
66,COLRAIN,25011,0.24714086471408644
67,CONCORD,25017,0.22428047491763534
68,CONWAY,25011,0.24715768660405335
69,CUMMINGTON,25015,0.2470138557095079
71,DANVERS,25009,0.2536739629193279
72,DARTMOUTH,25005,0.1834761848851317
73,DEDHAM,25021,0.2928299908244855
74,DEERFIELD,25011,0.24734914208598416
120,HAMPDEN,25013,0.3170731707317074
75,DENNIS,25001,0.2337437603993344
76,DIGHTON,25005,0.2480438184663537
77,DOUGLAS,25027,0.20347562004386704
