省份,城市,现有确诊,累计确诊,累计治愈,累计死亡
香港,香港,261201,329498,59015,9282
台湾,台湾,73846,88446,13742,858
上海市,上海市,21217,50813,29304,292
上海市,浦东新区,14806,14904,97,1
上海市,闵行区,4870,4889,19,0
上海市,黄浦区,4249,4271,22,0
上海市,徐汇区,3459,3477,17,1
上海市,虹口区,2706,2713,7,0
上海市,松江区,2399,2415,16,0
上海市,静安区,2136,2153,16,1
上海市,嘉定区,2123,2132,7,2
上海市,宝山区,2093,2120,26,1
上海市,长宁区,1942,1956,14,0
上海市,杨浦区,1578,1587,9,0
上海市,普陀区,1522,1534,12,0
上海市,青浦区,1037,1044,7,0
上海市,崇明区,372,376,4,0
上海市,金山区,314,318,4,0
上海市,奉贤区,220,231,11,0
上海市,境外输入,6,4579,4573,0
上海市,外地来沪,0,113,112,1
上海市,境外来沪,0,1,1,0
上海市,待明确地区,-24615,0,24330,285
吉林省,吉林省,1929,40133,38199,5
吉林省,长春,1615,25109,23494,0
吉林省,吉林市,260,14112,13849,3
吉林省,延边,49,171,122,0
吉林省,白城,23,138,115,0
吉林省,四平,12,244,231,1
吉林省,松原,1,18,17,0
吉林省,辽源,1,9,8,0
吉林省,通化,0,313,312,1
吉林省,白山,0,11,11,0
吉林省,公主岭,0,6,6,0
吉林省,梅河口,0,2,2,0
吉林省,待明确地区,-32,0,32,0
浙江省,浙江省,788,3069,2280,1
浙江省,境外输入,286,592,306,0
浙江省,杭州,271,501,230,0
浙江省,嘉兴,126,172,46,0
浙江省,衢州,92,114,22,0
浙江省,金华,81,138,57,0
浙江省,宁波,61,330,269,0
浙江省,湖州,26,36,10,0
浙江省,绍兴,19,448,429,0
浙江省,舟山,10,20,10,0
浙江省,温州,8,512,503,1
浙江省,丽水,4,21,17,0
浙江省,台州,2,149,147,0
浙江省,省十里丰监狱,0,36,36,0
浙江省,待明确地区,-198,0,198,0
黑龙江省,黑龙江省,397,2931,2521,13
黑龙江省,哈尔滨,387,1299,908,4
黑龙江省,牡丹江,11,94,83,0
黑龙江省,境外输入,1,431,430,0
黑龙江省,绥化,0,539,535,4
黑龙江省,黑河,0,297,297,0
黑龙江省,佳木斯,0,56,56,0
黑龙江省,双鸭山,0,52,49,3
黑龙江省,鸡西,0,52,52,0
黑龙江省,齐齐哈尔,0,45,44,1
黑龙江省,大庆,0,37,36,1
黑龙江省,七台河,0,18,18,0
黑龙江省,鹤岗,0,5,5,0
黑龙江省,大兴安岭,0,3,3,0
黑龙江省,伊春,0,1,1,0
黑龙江省,待明确,-2,2,4,0
江西省,江西省,274,1358,1083,1
江西省,上饶,162,308,146,0
江西省,南昌,113,449,336,0
江西省,境外输入,4,15,11,0
江西省,赣州,1,76,74,1
江西省,新余,0,129,129,0
江西省,九江,0,121,121,0
江西省,宜春,0,106,106,0
江西省,抚州,0,73,73,0
江西省,萍乡,0,33,33,0
江西省,吉安,0,23,23,0
江西省,鹰潭,0,18,18,0
江西省,景德镇,0,6,6,0
