year,date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description,wzz,wzz_add,_mtime,dateId
2020,02.11,中国,湖北,33366,1068,2639,1638,,,,,0,0,0,,0,0,2020-02-10T22:12:21Z,2020-02
2020,02.12,中国,湖北,48206,1310,3441,14840,,,,,14840,802,242,,0,0,2020-02-13T08:35:34Z,2020-02
2020,02.13,中国,湖北,51986,1318,4131,4823,,,,,4823,690,8,,0,0,2020-02-12T23:47:25Z,2020-02
2020,02.14,中国,湖北,54406,1457,4774,2420,,,,,2420,643,139,,0,0,2020-02-13T23:47:08Z,2020-02
2020,02.15,中国,湖北,56249,1596,5623,1843,,,,,1843,849,139,,0,0,2020-02-14T23:12:26Z,2020-02
2020,02.16,中国,湖北,58182,1696,6639,1933,,,,,1933,1016,100,,0,0,2020-02-15T22:24:23Z,2020-02
2020,02.17,中国,湖北,59989,1789,7862,1807,,,,,1807,1223,93,,0,0,2020-02-16T22:51:04Z,2020-02
2020,02.18,中国,湖北,61682,1921,9128,1693,,,,,1693,1266,132,,0,0,2020-02-17T22:53:27Z,2020-02
2020,02.19,中国,湖北,62457,2029,10337,775,,,,,775,1209,108,,0,0,2020-02-18T22:35:50Z,2020-02
2020,02.20,中国,湖北,63088,2144,11788,631,,,,,631,1451,115,,0,0,2020-02-19T22:35:32Z,2020-02
2020,02.21,中国,湖北,63454,2250,13557,366,,,,,366,1769,106,,0,0,2020-02-20T23:14:34Z,2020-02
2020,02.22,中国,湖北,64084,2346,15299,630,,,,,630,1742,96,,0,0,2020-02-22T00:47:25Z,2020-02
2020,02.23,中国,湖北,64287,2495,16738,398,,,,,398,1439,149,,0,0,2020-02-22T23:13:23Z,2020-02
2020,02.24,中国,湖北,64786,2563,18854,499,,,,,499,2116,68,,0,0,2020-02-24T02:54:45Z,2020-02
2020,02.25,中国,湖北,65187,2615,20912,401,,,,,401,2058,52,,0,0,2020-02-25T00:42:28Z,2020-02
2020,02.26,中国,湖北,65596,2641,23200,409,,,,,409,2288,26,,0,0,2020-02-26T01:41:21Z,2020-02
2020,02.27,中国,湖北,65914,2682,26403,318,,,,,318,3203,41,,0,0,2020-02-27T01:16:23Z,2020-02
2020,02.28,中国,湖北,66337,2727,28895,423,,,,,423,2492,45,,0,0,2020-02-27T23:58:33Z,2020-02
2020,02.29,中国,湖北,66907,2761,31187,570,,,,,570,2292,34,,0,0,2020-02-29T00:34:15Z,2020-02
2020,03.01,中国,湖北,67103,2803,33757,196,,,,,196,2570,42,,0,0,2020-02-29T23:40:46Z,2020-03
2020,03.02,中国,湖北,67217,2834,36167,114,,,,,114,2410,31,,0,0,2020-03-02T00:29:57Z,2020-03
