infect,localinfectionadd,date,y,confirm,dead,heal,deadRate,healRate,suspect,importedCase,localConfirmadd,dateId
100,22,02.26,2022,5802,80,375,1.4,6.5,7,127,112,2022-02-26
114,53,02.27,2022,24760,82,449,0.3,1.8,5,147,87,2022-02-27
144,42,02.28,2022,11526,85,771,0.7,6.7,9,125,75,2022-02-28
169,48,03.01,2022,18282,246,667,1.3,3.6,4,153,71,2022-03-01
143,37,03.02,2022,20549,178,709,0.9,3.5,5,160,54,2022-03-02
150,56,03.03,2022,20090,198,648,1.0,3.2,4,233,61,2022-03-03
166,73,03.04,2022,31713,188,614,0.6,1.9,5,179,102,2022-03-04
209,127,03.05,2022,18374,220,848,1.2,4.6,2,154,175,2022-03-05
442,312,03.06,2022,19271,233,806,1.2,4.2,4,113,214,2022-03-06
443,330,03.07,2022,6089,280,498,4.6,8.2,5,150,175,2022-03-07
399,322,03.08,2022,15154,291,959,1.9,6.3,15,104,233,2022-03-08
586,435,03.09,2022,12384,291,933,2.3,7.5,10,126,402,2022-03-09
814,703,03.10,2022,8115,281,1020,3.5,12.6,3,158,397,2022-03-10
1173,1048,03.11,2022,5759,294,1028,5.1,17.9,5,112,476,2022-03-11
1455,1315,03.12,2022,5791,285,1129,4.9,19.5,0,131,1807,2022-03-12
906,788,03.13,2022,5944,264,876,4.4,14.7,1,100,1337,2022-03-13
1768,1647,03.14,2022,7701,286,524,3.7,6.8,2,95,3507,2022-03-14
1338,1194,03.15,2022,5467,289,1061,5.3,19.4,1,92,1860,2022-03-15
1310,1206,03.16,2022,4653,279,1305,6.0,28.0,8,91,1226,2022-03-16
1904,1742,03.17,2022,4654,289,1449,6.2,31.1,6,73,2388,2022-03-17
1823,1713,03.18,2022,4163,267,1688,6.4,40.5,0,71,2157,2022-03-18
2316,2177,03.19,2022,3551,249,1521,7.0,42.8,3,81,1656,2022-03-19
2492,2384,03.20,2022,3423,246,1467,7.2,42.9,6,80,1947,2022-03-20
2432,2313,03.21,2022,3563,223,980,6.3,27.5,0,57,2281,2022-03-21
2469,2346,03.22,2022,3813,245,1938,6.4,50.8,3,76,2591,2022-03-22
2829,2722,03.23,2022,3218,205,2362,6.4,73.4,1,44,2010,2022-03-23
3622,3489,03.24,2022,3204,201,2111,6.3,65.9,5,65,1301,2022-03-24
4430,4320,03.25,2022,2093,192,2310,9.2,110.4,1,55,1280,2022-03-25
4448,4333,03.26,2022,2121,139,2446,6.6,115.3,0,37,1217,2022-03-26
5134,4996,03.27,2022,2164,151,1925,7.0,89.0,6,56,1219,2022-03-27
5758,5658,03.28,2022,2022,168,1591,8.3,78.7,6,65,1228,2022-03-28
7196,7090,03.29,2022,2164,151,2578,7.0,119.1,2,64,1565,2022-03-29
6720,6651,03.30,2022,2666,135,2872,5.1,107.7,2,36,1803,2022-03-30
5559,5442,03.31,2022,2593,119,2536,4.6,97.8,2,40,1787,2022-03-31
7869,7789,04.01,2022,14288,120,5781,0.8,40.5,0,43,2086,2022-04-01
11781,11691,04.02,2022,8570,116,3907,1.4,45.6,0,51,1455,2022-04-02
11862,11771,04.03,2022,2163,111,2719,5.1,125.7,0,39,1366,2022-04-03
15355,15239,04.04,2022,1954,90,2281,4.6,116.7,0,62,1173,2022-04-04
19199,19089,04.05,2022,2263,87,3357,3.8,148.3,0,32,1383,2022-04-05
21784,21711,04.06,2022,2097,111,2420,5.3,115.4,4,39,1284,2022-04-06
22648,22561,04.07,2022,3096,97,3358,3.1,108.5,4,36,1540,2022-04-07
25111,25037,04.09,2022,2049,63,3491,3.1,170.4,0,33,1318,2022-04-09
26411,26345,04.10,2022,2009,65,2256,3.2,112.3,0,20,1164,2022-04-10
23387,23295,04.11,2022,2097,65,2554,3.1,121.8,0,21,1251,2022-04-11
26525,26420,04.12,2022,3048,116,3468,3.8,113.8,0,13,1500,2022-04-12
26391,26318,04.13,2022,4009,62,3568,1.5,89.0,0,21,2999,2022-04-13
20782,20694,04.14,2022,4547,54,2937,1.2,64.6,1,14,3472,2022-04-14
20895,20813,04.15,2022,5451,67,4529,1.2,83.1,0,29,3867,2022-04-15
22626,22512,04.16,2022,4944,41,2408,0.8,48.7,0,25,3504,2022-04-16
20718,20639,04.17,2022,4305,32,2284,0.7,53.1,0,19,2723,2022-04-17
18284,18187,04.18,2022,5186,27,2320,0.5,44.7,0,19,3297,2022-04-18
17166,17066,04.19,2022,4582,26,2962,0.6,64.6,1,8,2753,2022-04-19
16617,16552,04.20,2022,5616,18,3056,0.3,54.4,0,11,2830,2022-04-20
16465,16383,04.21,2022,5309,37,2387,0.7,45.0,0,14,2119,2022-04-21
21423,21355,04.22,2022,7030,27,3371,0.4,48.0,0,17,2971,2022-04-22
20285,20230,04.23,2022,23314,48,2904,0.2,12.5,0,14,1566,2022-04-23
17581,17528,04.24,2022,8923,64,3151,0.7,35.3,0,14,2666,2022-04-24
15889,15816,04.25,2022,7259,70,2385,1.0,32.9,0,15,1908,2022-04-25
12474,12404,04.26,2022,8251,55,-6587,0.7,0.0,0,6,1818,2022-04-26
9864,9791,04.27,2022,10561,57,2935,0.5,27.8,0,9,1494,2022-04-27
